BuildingId,Latitude,Longitude
1,-25.449900,-49.232200
1,-25.449700,-49.232200
1,-25.449700,-49.232000
1,-25.449900,-49.232000
2,-25.449200,-49.231600
2,-25.449000,-49.231600
2,-25.449000,-49.231300
2,-25.449200,-49.231300
3,-25.448700,-49.232000
3,-25.448400,-49.232000
3,-25.448400,-49.231700
3,-25.448700,-49.231700
4,-25.450800,-49.230700
4,-25.450500,-49.230700
4,-25.450500,-49.230300
4,-25.450800,-49.230300
5,-25.442100,-49.236900
5,-25.441900,-49.236900
5,-25.441900,-49.236700
5,-25.442100,-49.236700
6,-25.427800,-49.268000
6,-25.427500,-49.268000
6,-25.427500,-49.267700
6,-25.427800,-49.267700
