BuildingId,Latitude,Longitude
1,-25.450148,-49.231193
1,-25.44999,-49.231121
1,-25.502045,-49.230537
1,-25.450558,-49.230705
1,-25.450425,-49.231085
1,-25.450461,-49.231114
1,-25.450391,-49.231299
1,-25.45022,-49.231223
1,-25.450232,-49.231181
1,-25.450175,-49.231162
1,-25.450461,-49.231114
2,-25.450996,-49.231628
2,-25.450436,-49.231351
2,-25.450515,-49.231145
2,-25.45106,-49.231421
2,-25.450996,-49.231628
3,-25.451159,-49.231708
3,-25.451247,-49.231467
3,-25.451796,-49.231745
3,-25.451718,-49.231961
3,-25.451159,-49.231708
4,-25.450796,-49.232159
4,-25.450514,-49.232921
4,-25.450316,-49.232828
4,-25.450596,-49.232078
4,-25.450796,-49.232159
5,-25.450741,-49.232621
5,-25.450996,-49.231981
5,-25.451218,-49.232082
5,-25.450979,-49.232729
5,-25.450741,-49.232621
6,-25.451431,-49.231464
6,-25.451271,-49.231383
6,-25.451476,-49.230838
6,-25.451629,-49.230903
6,-25.451431,-49.231464
7,-25.450284,-49.231754
7,-25.450381,-49.231517
7,-25.450969,-49.231779
7,-25.450882,-49.232035
7,-25.450284,-49.231754
8,-25.449097,-49.235188
8,-25.449266,-49.234764
8,-25.449721,-49.234952
8,-25.449591,-49.235416
8,-25.449591,-49.235416
